date,body feeling,feeling,energy level,todays headline,grateful for,walk,journal,keto,if,exercise,jump,mediation,mg,alcohol,headache,latesleep,interrupted sleep(tothinight)
02/01/2021,happy,,,,,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2021,happy,,,,,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2021,happy,,,,,0,0,0,0,1,0,0,0,0,0,0,0
05/01/2021,fine,,,,,1,0,0,0,0,0,0,0,0,1,0,0
06/01/2021,fine,,,,,0,0,0,0,0,0,0,0,0,0,0,1
07/01/2021,tired,,,,,0,0,0,0,0,0,0,0,0,1,0,0
08/01/2021,fine,,,,,1,0,0,0,0,0,0,0,0,0,0,0
09/01/2021,jolly,,,,,1,0,0,0,0,0,0,0,0,0,0,1
10/01/2021,anxious happy,,,,,1,0,0,0,0,0,0,0,0,0,0,1
11/01/2021,determinant,,,,,1,0,0,0,1,0,0,0,0,0,0,1
12/01/2021,tired,,,,,1,0,0,0,1,0,0,0,0,1,0,1
13/01/2021,tired down happy,,,,,0,0,0,0,1,0,0,0,0,1,0,0
14/01/2021,determinant,,,,,1,0,0,0,0,0,0,0,0,0,0,0
15/01/2021,determinant,,,,,0,0,0,0,0,0,0,0,0,0,0,0
16/01/2021,determinant happy,,,,,0,0,0,0,0,0,0,0,0,0,0,0
17/01/2021,tired,,,,,1,0,0,0,0,0,0,0,0,1,0,0
18/01/2021,determinant happy relieved,,,,,0,0,0,0,0,0,0,0,0,0,0,1
19/01/2021,docile sluggish,,,,,1,0,0,0,0,0,0,0,0,0,0,0
20/01/2021,sleepy,,,,,1,0,0,0,0,0,0,0,0,0,0,0
21/01/2021,"Fine, energised",,,,,0,0,0,0,1,0,0,0,0,0,0,0
22/01/2021,energised,,,,,0,0,0,1,1,0,0,0,1,0,0,0
23/01/2021,sleepy accomplished happy relived,,,,,1,0,0,1,1,0,0,0,0,0,0,0
24/01/2021,happy,,,,,1,0,0,1,1,0,0,0,0,0,0,0
25/01/2021,energised,,,,,1,0,0,1,1,0,0,0,0,0,0,0
26/01/2021,energised,,,,,0,0,0,1,1,0,0,0,0,0,1,0
27/01/2021,sleepy,,,,,1,0,0,1,0,0,0,0,0,0,0,0
28/01/2021,energised,,,,,1,0,0,1,1,0,0,0,0,0,0,0
29/01/2021,determinant,,,,,0,0,0,1,0,0,0,0,1,0,0,0
30/01/2021,energised,,,,,1,0,0,1,0,0,0,0,1,0,0,0
31/01/2021,energised,,,,,0,0,0,1,0,0,0,0,0,0,0,0
01/02/2021,energised,,,,,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2021,docile,,,,,0,0,0,1,0,0,0,0,0,0,0,1
03/02/2021,hungry,,,,,0,0,0,1,0,0,0,0,0,0,0,0
04/02/2021,"Sleepy, weak",,,,,1,0,0,0,1,0,0,0,0,0,0,0
05/02/2021,energised,,,,,0,0,0,0,1,0,0,0,0,0,0,0
06/02/2021,sleepy,,,,,1,0,0,0,0,0,0,0,1,0,0,0
07/02/2021,neutral,,,,,0,0,0,0,0,0,0,0,1,0,0,0
08/02/2021,"Energised, determinant",,,,,0,0,0,1,1,0,0,0,1,0,0,0
09/02/2021,determinant,,,,,1,0,0,1,0,0,0,0,0,0,0,1
10/02/2021,energised,,,,,0,0,0,1,0,0,0,0,0,0,0,0
11/02/2021,happy,,,,,0,0,0,0,0,0,0,0,0,0,0,0
12/02/2021,determinant,,,,,0,0,0,1,0,0,0,0,1,1,0,1
13/02/2021,determinant,,,,,0,0,0,0,0,0,0,0,1,1,0,0
14/02/2021,rested,,,,,1,0,0,0,0,0,0,0,1,0,0,0
15/02/2021,sleepy,,,,,1,0,0,0,1,0,0,0,0,0,0,0
16/02/2021,determinant,,,,,1,0,0,1,1,0,0,0,0,0,0,0
17/02/2021,content,,,,,0,0,0,1,1,0,0,0,0,0,0,0
18/02/2021,determinant,,,,,1,0,0,1,1,0,0,0,0,0,0,0
